ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime
12635,Storied Streets,2014,18+,7.3,100%,0,0,1,0,0,"Thomas A. Morgan,Jack Henry Robbins",Documentary,United States,English,61
12636,Scarlet's Witch,2014,18+,4.5,100%,0,0,1,0,0,F.C. Rabbath,"Drama,Fantasy,Mystery",United States,English,84
12637,Mere Khwabon Mein Jo Aaye,2009,18+,5.7,100%,0,0,1,0,0,Madhureeta Anand,"Drama,Fantasy,Musical",India,Hindi,119
12638,Apocalypse Mercenaries,1987,18+,4.5,100%,0,0,1,0,0,Leandro Lucchetti,"Action,War",Italy,Italian,85
12639,Silent Conquest,2013,18+,7.3,100%,0,0,1,0,0,A. Fishman,"Documentary,News","United States,Denmark,Netherlands,Sweden,United Kingdom",English,83
12641,Ripple Effect,2007,18+,5,29%,0,0,1,0,0,Philippe Caland,"Drama,Music",United States,English,87
12644,The Deadline,2008,18+,5.902751499,100%,0,0,1,0,0,Lambert Hillyer,"Action,Adventure,Romance,Western",United States,English,65
12646,Nureyev,2009,18+,5.902751499,100%,0,0,1,0,0,"David Morris,Jacqui Morris",Documentary,United Kingdom,English,109
12647,The Pristine Coast,2014,18+,5.902751499,100%,0,0,1,0,0,Scott Renyard,"Documentary,History,News",Canada,English,110
12648,The Dream Share Project,2013,18+,5.902751499,100%,0,0,1,0,0,"Chip Hiden,Alexis Irvin","Documentary,Adventure,Drama",United States,English,63
12650,Petunia,2013,18+,5,100%,0,0,1,0,0,Ash Christian,"Comedy,Drama,Romance",United States,English,112
12651,Awesome Lotus,1983,18+,4.5,100%,0,0,1,0,0,David O'Malley,"Action,Comedy",United States,English,90
12653,Mission Kill,1986,18+,4.5,100%,0,0,1,0,0,David Winters,"Action,Adventure,Crime,Drama","United States,Mexico",English,97
12654,Gnaw,2008,18+,5.2,100%,0,0,1,0,0,Haylar Garcia,Horror,"Spain,United States",English,97
12655,1313: Frankenqueen,2012,18+,3.4,100%,0,0,1,0,0,David DeCoteau,"Drama,Horror,Sci-Fi",United States,English,77
12656,Jesus: He Lived Among Us,2011,18+,7,100%,0,0,1,0,0,Jay Chapman,"Animation,Action,Adventure,Drama",United States,English,90
12657,Goldilocks and the Three Bears,1991,18+,5.9,100%,0,0,1,0,0,Brent Loefke,Comedy,United States,English,88
12659,Martial Outlaw,1993,18+,5.7,100%,0,0,1,0,0,Kurt Anderson,"Action,Crime,Drama",United States,English,86
12661,Luxury Car,2006,18+,6.5,100%,0,0,1,0,0,Chao Wang,Drama,"France,China",Mandarin,88
12662,Another Zero in the System,2013,18+,5.7,100%,0,0,1,0,0,Tim McCann,"Crime,Drama",United States,English,84
12663,Be Good,2012,18+,5.6,100%,0,0,1,0,0,Juliette Garcias,Drama,"France,Denmark",French,90
12664,Mask Maker,2011,18+,4.7,100%,0,0,1,0,0,Griff Furst,Horror,United States,English,90
12665,Point Doom,2000,18+,3.7,100%,0,0,1,0,0,Art Camacho,"Action,Crime,Drama,Thriller",United States,English,100
12666,Sleeping Fist,1979,18+,6.4,100%,0,0,1,0,0,Wing-Cho Yip,Action,"Hong Kong,Taiwan","Mandarin,Cantonese,English",88
12668,Potpourri,2011,18+,4.7,100%,0,0,1,0,0,Benjamin Stoloff,Musical,United States,English,80
12671,The Weekend,2016,18+,4.6,100%,0,0,1,0,0,Stella Meghie,"Comedy,Drama,Romance",United States,English,87
12672,Polymorph,1996,18+,4.2,100%,0,0,1,0,0,J.R. Bookwalter,"Action,Horror,Sci-Fi",United States,English,86
12674,Quito 2023,2014,18+,4.8,100%,0,0,1,0,0,"César Izurieta,Juan Fernando Moscoso","Sci-Fi,Thriller",Ecuador,Spanish,90
12675,Road Train,2010,18+,3.7,100%,0,0,1,0,0,Dean Francis,"Horror,Thriller",Australia,English,87
12676,The Fall of '55,2006,18+,6.2,100%,0,0,1,0,0,Seth Randal,"Crime,Drama,Mystery",United States,English,82
12677,Ramblin' Freak,2017,16+,6.8,100%,0,0,1,0,0,Parker Smith,Documentary,United States,English,91
12678,The King of the Streets,2012,18+,4.9,100%,0,0,1,0,0,"Zhong Lei,Yue Song",Action,China,Mandarin,88
12679,Dark Legacy II,2014,18+,6,100%,0,0,1,0,0,John Hankey,Documentary,United States,English,106
12681,Crazy Murder,2014,18+,4.3,100%,0,0,1,0,0,"Doug Gerber,Caleb Pennypacker",Horror,United States,English,93
12683,Warriors of Honor,2004,18+,7.4,100%,0,0,1,0,0,Brian Barkley,Documentary,United States,English,80
12684,In a Dark Place,2006,18+,4.3,100%,0,0,1,0,0,William Brent Bell,"Horror,Mystery,Thriller","United States,Canada,China",English,97
12687,Angel's Bounty,2015,18+,3.9,100%,0,0,1,0,0,Lee Fleming,Comedy,United States,English,84
12688,Dědictví aneb Kurva se neříká,2014,18+,3.9,100%,0,0,1,0,0,Robert Sedlácek,Comedy,Czech Republic,Czech,93.41344725
12690,SOS: The Titanic Inquiry,2012,18+,7.5,100%,0,0,1,0,0,Michael McDowell,"Drama,History",United Kingdom,English,59
12691,4th and Goal,2011,18+,5.8,100%,0,0,1,0,0,"Nina Gilden Seavey,Michael Pryfogle","Documentary,Sport",United States,English,89
12693,NASA Presents: AMS - The Fight for Flight,2017,18+,7.1,100%,0,0,1,0,0,Jason Clemons,Documentary,United States,English,63
12694,Zone of the Dead,2009,18+,3.9,100%,0,0,1,0,0,Sharron Miller,Horror,United States,English,79
12696,Killer Barbys,1996,18+,3.4,100%,0,0,1,0,0,Jesús Franco,Horror,Spain,"Spanish,English",90
12697,Two Hundred Thousand Dirty,2014,18+,6.8,100%,0,0,1,0,0,Timothy L. Anderson,Comedy,United States,English,89
12700,Willed to Kill,2012,16+,5.4,100%,0,0,1,0,0,Philippe Gagnon,"Action,Drama,Mystery,Thriller",Canada,English,84
12701,Like Air,2015,18+,6.3,100%,0,0,1,0,0,Jake Viramontez,"Documentary,Biography,Drama,Family",United States,English,80
12702,POP-U-larity!,2012,18+,6.1,100%,0,0,1,0,0,Michelle Ehlen,Comedy,United States,English,77
12703,Trailer Park Jesus,2012,18+,6.5,100%,0,0,1,0,0,Sean Gerowin,"Comedy,Romance",United States,English,80
12704,Living 'til the End,2005,18+,6.5,100%,0,0,1,0,0,Amanda Goodwin,"Drama,Romance",United States,English,87
12705,Eyes on the Skies,2008,18+,7.3,100%,0,0,1,0,0,Lars Lindberg Christensen,Documentary,Germany,English,60
12706,House of Fears,2007,18+,4.8,100%,0,0,1,0,0,Ryan Little,"Horror,Thriller",United States,English,86
